"","Number","X.","Position.F1","Position.F2","Position.F3","Assign.F1","Assign.F2","Assign.F3","Height","Volume","Line.Width.F1..Hz.","Line.Width.F2..Hz.","Line.Width.F3..Hz.","Merit","Details","Fit.Method","Vol..Method"
"1",1,221,178.04348,52.41857,126.9,NA,NA,NA,2645980000,62024800000,120.03649,179.84307,150.68874,1,"None","None","box sum"
"2",2,220,172.22018,52.41857,126.9,NA,NA,NA,14650600000,3.83983e+11,339.35288,568.11172,345.41011,1,"None","None","box sum"
"3",3,219,20.00949,52.45365,126.9,NA,NA,NA,3260260000,73641800000,338.2246,160.41839,110.75124,1,"None","None","box sum"
"4",4,218,31.78399,52.42924,126.9,NA,NA,NA,6912290000,1.76005e+11,811.57587,364.17222,389.24164,1,"None","None","box sum"
"5",5,222,52.406,52.38349,126.9,NA,NA,NA,23501500000,5.99753e+11,185.17502,216.04842,652.2646,1,"None","None","box sum"
"6",6,211,172.11614,59.01936,120.12,NA,NA,NA,5973970000,1.44802e+11,200.9617,221.43281,195.96368,1,"None","None","box sum"
"7",7,215,11.89412,59.05277,120.12,NA,NA,NA,4740620000,1.08312e+11,104.88952,202.50839,137.51483,1,"None","None","box sum"
"8",8,214,15.50219,59.05277,120.12,NA,NA,NA,5101470000,1.16224e+11,137.50108,184.01685,142.63135,1,"None","None","box sum"
"9",9,213,25.49122,59.05277,120.12,NA,NA,NA,4159470000,1.00646e+11,145.24479,192.56365,220.84409,1,"None","None","box sum"
"10",10,210,39.90682,59.01936,120.12,NA,NA,NA,2823050000,65910300000,130.85418,148.79617,181.31214,1,"None","None","box sum"
"11",11,212,59.06638,59.01936,120.12,NA,NA,NA,5646660000,1.44212e+11,149.08978,181.04345,1179.86158,1,"None","None","box sum"
"12",12,209,173.85019,53.70997,130.64,NA,NA,NA,3338390000,77161800000,211.00411,162.47702,148.79596,1,"None","None","box sum"
"13",13,207,35.27895,53.73273,130.64,NA,NA,NA,3608460000,86212800000,245.68595,305.87691,136.16174,1,"None","None","box sum"
