"","Number","X.","Position.F1","Position.F2","Position.F3","Assign.F1","Assign.F2","Assign.F3","Height","Volume","Line.Width.F1..Hz.","Line.Width.F2..Hz.","Line.Width.F3..Hz.","Merit","Details","Fit.Method","Vol..Method"
"1",1,1,32.08058,59.14867,126.09,NA,NA,NA,4.71e+09,1.17e+11,587.08132,255.36111,440.7154,1,"None","None","box sum"
"2",2,2,19.24134,59.07761,126.09,NA,NA,NA,1.71e+10,4.33e+11,280.27374,242.38351,330.78527,1,"None","None","box sum"
"3",3,3,66.17225,58.96955,118.47,NA,NA,NA,3.08e+09,7.02e+10,176.50303,177.62381,102.62167,1,"None","None","box sum"
"4",4,4,40.31315,53.12854,127.53,NA,NA,NA,4.15e+09,9.97e+10,127.05805,256.60551,210.56765,1,"None","None","box sum"
"5",5,5,31.78231,52.65557,127.53,NA,NA,NA,9.18e+09,2.24e+11,643.05839,190.06068,198.72618,1,"None","None","box sum"
"6",6,6,23.67639,52.94018,127.53,NA,NA,NA,6.68e+09,1.68e+11,185.85168,254.30989,333.30306,1,"None","None","box sum"
"7",7,7,172.39007,52.85385,127.53,NA,NA,NA,1.62e+10,4.17e+11,388.31815,414.10577,655.58973,1,"None","None","box sum"
"8",8,8,27.98761,53.08551,127.53,NA,NA,NA,6.11e+09,1.5e+11,290.47982,374.45408,191.67161,1,"None","None","box sum"
"9",9,10,19.51889,59.26438,118.47,NA,NA,NA,1.46e+10,3.35e+11,150.18661,167.15273,136.58106,1,"None","None","box sum"
"10",10,11,172.77812,52.33993,112.25,NA,NA,NA,6.26e+09,1.45e+11,267.8044,161.17108,138.53914,1,"None","None","box sum"
"11",11,12,63.31686,52.35778,112.25,NA,NA,NA,5.7e+09,1.27e+11,135.70317,154.61177,117.84691,1,"None","None","box sum"
"12",12,13,45.49742,45.47337,107.23,NA,NA,NA,8.72e+09,2.04e+11,141.54882,183.03281,165.92002,1,"None","None","box sum"
"17",17,18,135.94891,68.12054,166.0861,NA,NA,NA,2.33e+09,3.68e+10,109.98034,143.63615,124.15791,1,"None","parabolic","box sum"
"21",21,22,38.13361,62.26135,166.0861,NA,NA,NA,2.89e+09,4.14e+10,86.07008,139.62582,113.87159,1,"None","parabolic","box sum"
"22",22,23,41.49132,60.71303,166.0861,NA,NA,NA,2.29e+09,3.4e+10,173.40066,139.45413,117.50784,1,"None","parabolic","box sum"
"23",23,24,141.43796,58.89047,166.0861,NA,NA,NA,2.67e+09,4.03e+10,103.86659,151.31333,131.36096,1,"None","parabolic","box sum"
"24",24,25,183.03458,53.23675,166.0861,NA,NA,NA,2.98e+09,4.2e+10,77.87277,170.44032,107.56456,1,"None","parabolic","box sum"
"25",25,26,172.79224,52.79677,166.0861,NA,NA,NA,2.58e+09,3.95e+10,107.04011,134.28545,119.05396,1,"None","parabolic","box sum"
"26",26,27,169.85484,52.40748,166.0861,NA,NA,NA,2.3e+09,3.38e+10,94.90635,163.53512,131.38641,1,"None","parabolic","box sum"
"27",27,28,75.7338,51.50864,166.0861,NA,NA,NA,2.26e+09,3.54e+10,127.6028,203.33827,155.65288,1,"None","parabolic","box sum"
"28",28,29,147.10769,51.24309,166.0861,NA,NA,NA,2.32e+09,3.23e+10,108.11586,194.55552,93.2156,1,"None","parabolic","box sum"
"29",29,30,94.35218,51.06073,166.0861,NA,NA,NA,2.29e+09,3.52e+10,148.07968,137.31372,283.43755,1,"None","parabolic","box sum"
"30",30,31,114.89393,50.01202,166.0861,NA,NA,NA,2.4e+09,3.91e+10,112.19842,208.6584,159.78441,1,"None","parabolic","box sum"
"31",31,32,132.88497,49.10473,166.0861,NA,NA,NA,2.96e+09,4.59e+10,90.65036,163.44291,113.41961,1,"None","parabolic","box sum"
"32",32,33,60.67734,48.2271,166.0861,NA,NA,NA,2.51e+09,3.89e+10,109.8069,143.36026,141.62832,1,"None","parabolic","box sum"
"37",37,38,133.81256,41.08933,166.0861,NA,NA,NA,2.26e+09,3.43e+10,88.91108,182.24341,123.09327,1,"None","parabolic","box sum"
"41",41,42,163.63364,72.53233,165.61769,NA,NA,NA,2.26e+09,5.09e+10,100.00328,196.438,146.93258,1,"None","parabolic","box sum"
"42",42,43,177.11393,70.3595,165.85683,NA,NA,NA,2.28e+09,4.96e+10,132.55102,163.25844,114.38444,1,"None","parabolic","box sum"
"43",43,44,179.95879,69.75282,165.70145,NA,NA,NA,2.26e+09,5.27e+10,164.00896,142.51745,168.60516,1,"None","parabolic","box sum"
"44",44,45,89.00715,69.29469,165.65088,NA,NA,NA,2.51e+09,5.49e+10,133.04294,158.2432,123.93625,1,"None","parabolic","box sum"
"45",45,46,76.62675,68.5883,165.65143,NA,NA,NA,2.27e+09,4.88e+10,122.24326,126.56873,111.98041,1,"None","parabolic","box sum"
"46",46,47,20.56058,67.4711,165.6509,NA,NA,NA,2.29e+09,5.34e+10,113.34165,182.44733,237.79241,1,"None","parabolic","box sum"
