"","Number","X.","Position.F1","Position.F2","Position.F3","Assign.F1","Assign.F2","Assign.F3","Height","Volume","Line.Width.F1..Hz.","Line.Width.F2..Hz.","Line.Width.F3..Hz.","Merit","Details","Fit.Method","Vol..Method"
"1",1,1,32.08058,59.14867,126.09,NA,NA,NA,4.71e+09,1.17e+11,587.08132,255.36111,440.7154,1,"None","None","box sum"
"2",2,2,19.24134,59.07761,126.09,NA,NA,NA,1.71e+10,4.33e+11,280.27374,242.38351,330.78527,1,"None","None","box sum"
"3",3,3,66.17225,58.96955,118.47,NA,NA,NA,3.08e+09,7.02e+10,176.50303,177.62381,102.62167,1,"None","None","box sum"
"4",4,4,40.31315,53.12854,127.53,NA,NA,NA,4.15e+09,9.97e+10,127.05805,256.60551,210.56765,1,"None","None","box sum"
"5",5,5,31.78231,52.65557,127.53,NA,NA,NA,9.18e+09,2.24e+11,643.05839,190.06068,198.72618,1,"None","None","box sum"
"6",6,6,23.67639,52.94018,127.53,NA,NA,NA,6.68e+09,1.68e+11,185.85168,254.30989,333.30306,1,"None","None","box sum"
"7",7,7,172.39007,52.85385,127.53,NA,NA,NA,1.62e+10,4.17e+11,388.31815,414.10577,655.58973,1,"None","None","box sum"
"8",8,8,27.98761,53.08551,127.53,NA,NA,NA,6.11e+09,1.5e+11,290.47982,374.45408,191.67161,1,"None","None","box sum"
"9",9,10,19.51889,59.26438,118.47,NA,NA,NA,1.46e+10,3.35e+11,150.18661,167.15273,136.58106,1,"None","None","box sum"
"10",10,11,172.77812,52.33993,112.25,NA,NA,NA,6.26e+09,1.45e+11,267.8044,161.17108,138.53914,1,"None","None","box sum"
"11",11,12,63.31686,52.35778,112.25,NA,NA,NA,5.7e+09,1.27e+11,135.70317,154.61177,117.84691,1,"None","None","box sum"
"12",12,13,45.49742,45.47337,107.23,NA,NA,NA,8.72e+09,2.04e+11,141.54882,183.03281,165.92002,1,"None","None","box sum"
"17",17,18,135.94891,68.12054,166.0861,NA,NA,NA,2.33e+09,3.68e+10,109.98034,143.63615,124.15791,1,"None","parabolic","box sum"
"24",24,25,183.03458,53.23675,166.0861,NA,NA,NA,2.98e+09,4.2e+10,77.87277,170.44032,107.56456,1,"None","parabolic","box sum"
"25",25,26,172.79224,52.79677,166.0861,NA,NA,NA,2.58e+09,3.95e+10,107.04011,134.28545,119.05396,1,"None","parabolic","box sum"
"32",32,33,60.67734,48.2271,166.0861,NA,NA,NA,2.51e+09,3.89e+10,109.8069,143.36026,141.62832,1,"None","parabolic","box sum"
"33",33,34,45.96299,46.98604,166.0861,NA,NA,NA,2.25e+09,3.39e+10,86.54399,122.80154,128.05043,1,"None","parabolic","box sum"
"38",38,39,32.91535,40.76414,166.0861,NA,NA,NA,2.26e+09,3.56e+10,147.78532,130.87708,138.72712,1,"None","parabolic","box sum"
"46",46,47,20.56058,67.4711,165.6509,NA,NA,NA,2.29e+09,5.34e+10,113.34165,182.44733,237.79241,1,"None","parabolic","box sum"
"48",48,49,127.44649,56.62535,165.75794,NA,NA,NA,2.4e+09,5.34e+10,135.10468,136.8629,137.02351,1,"None","parabolic","box sum"
"51",51,52,43.6221,54.58279,165.7183,NA,NA,NA,2.29e+09,4.83e+10,124.58104,119.47411,110.84457,1,"None","parabolic","box sum"
"52",52,53,34.48063,53.72823,165.71033,NA,NA,NA,2.25e+09,4.91e+10,131.97055,160.9925,113.8331,1,"None","parabolic","box sum"
"53",53,54,172.98247,53.02977,165.69249,NA,NA,NA,2.47e+09,5.68e+10,123.97736,169.78985,132.51546,1,"None","parabolic","box sum"
"55",55,56,167.78241,51.70095,165.78561,NA,NA,NA,2.32e+09,5.35e+10,223.20504,151.40158,141.0899,1,"None","parabolic","box sum"
"57",57,58,114.91246,46.31461,165.8067,NA,NA,NA,2.66e+09,5.74e+10,100.57185,140.00404,127.45486,1,"None","parabolic","box sum"
"58",58,59,43.21503,45.35281,165.80984,NA,NA,NA,2.57e+09,5.94e+10,183.55788,146.19702,241.95342,1,"None","parabolic","box sum"
"62",62,63,103.77694,40.88281,165.77544,NA,NA,NA,2.25e+09,4.96e+10,210.45936,164.47222,112.60945,1,"None","parabolic","box sum"
"65",65,66,68.24002,68.88188,165.52126,NA,NA,NA,2.75e+09,5.74e+10,83.15337,133.73585,110.27205,1,"None","parabolic","box sum"
"73",73,74,40.33806,63.68215,165.42019,NA,NA,NA,2.36e+09,5.49e+10,215.05063,167.63484,183.345,1,"None","parabolic","box sum"
"74",74,75,59.58499,63.54033,165.51675,NA,NA,NA,2.27e+09,5.13e+10,111.78069,177.82784,213.50953,1,"None","parabolic","box sum"
"77",77,78,30.6953,61.31865,165.51937,NA,NA,NA,2.63e+09,6.2e+10,145.67473,153.48086,222.20041,1,"None","parabolic","box sum"
"78",78,79,67.02453,58.49815,165.55878,NA,NA,NA,2.29e+09,4.83e+10,126.3252,107.2565,147.63683,1,"None","parabolic","box sum"
