Number,#,Position F1,Position F2,Assign F1,Assign F2,Height,Volume,Line Width F1 (Hz),Line Width F2 (Hz),Merit,Details,Fit Method,Vol. Method
1,1,11.43118,38.90331,,,7.21E+09,6.20E+10,159.28608,257.15869,1,None,None,box sum
2,2,21.88216,67.41232,,,3.02E+10,2.34E+11,100.41428,186.8045,1,None,None,box sum
3,3,21.9823,60.02735,,,1.72E+10,1.30E+11,129.71339,150.85869,1,None,None,box sum
4,4,60.08503,67.48742,,,1.61E+10,1.26E+11,121.47866,181.75093,1,None,None,box sum
5,5,67.42432,60.05238,,,1.47E+10,1.16E+11,243.09412,158.89115,1,None,None,box sum
6,6,60.11444,21.93191,,,1.76E+10,1.35E+11,140.75979,148.10765,1,None,None,box sum
7,7,67.37425,21.90687,,,2.91E+10,2.23E+11,165.38579,141.84766,1,None,None,box sum
8,8,171.15918,21.93274,,,1.09E+10,8.55E+10,147.20515,164.67625,1,None,None,box sum
9,9,171.19537,67.34195,,,8.30E+09,6.55E+10,139.11883,214.42043,1,None,None,box sum
10,10,171.23155,60.06882,,,3.18E+10,2.65E+11,180.57826,253.65453,1,None,None,box sum
11,11,52.97057,62.93496,,,3.64E+10,2.92E+11,323.32588,222.42171,1,None,None,box sum
12,12,62.94324,53.06419,,,3.51E+10,2.86E+11,136.92946,262.6152,1,None,None,box sum
13,13,172.62633,52.89984,,,1.17E+11,1.02E+12,419.15134,562.09721,1,None,None,box sum
14,14,172.68713,62.9611,,,3.83E+10,3.10E+11,142.53877,202.83824,1,None,None,box sum
15,15,58.81993,66.15088,,,9.85E+09,7.70E+10,126.66231,159.40682,1,None,None,box sum
16,16,20.06844,66.11608,,,1.34E+10,1.04E+11,126.96278,182.1107,1,None,None,box sum
17,17,52.35681,63.44396,,,1.79E+10,1.39E+11,610.0853,176.13852,1,None,None,box sum
18,18,172.044,200.3981,,,4.84E+09,2.60E+10,239.36212,170.37598,1,None,parabolic,box sum
19,19,59.44668,200.3981,,,3.91E+09,1.87E+10,85.84535,399.57564,1,None,parabolic,box sum
20,20,38.51946,200.3981,,,3.54E+09,1.84E+10,93.57196,133.55094,1,None,parabolic,box sum
21,21,33.45274,200.3981,,,4.67E+09,2.52E+10,101.27171,152.05661,1,None,parabolic,box sum
22,22,31.5943,200.3981,,,3.41E+09,1.78E+10,194.04976,329.52426,1,None,parabolic,box sum
23,23,28.51949,200.3981,,,4.81E+09,2.70E+10,386.19657,283.41008,1,None,parabolic,box sum
24,24,27.8901,200.3981,,,3.74E+09,2.10E+10,417.56962,1161.06393,1,None,parabolic,box sum
25,25,27.27675,200.3981,,,3.39E+09,1.72E+10,430.1037,1003.68089,1,None,parabolic,box sum
26,26,26.34399,200.3981,,,3.93E+09,2.08E+10,331.46534,478.12457,1,None,parabolic,box sum
27,27,171.32734,200.25607,,,3.30E+09,2.52E+10,554.19434,179.22051,1,None,parabolic,box sum
28,28,52.4278,200.21132,,,4.17E+09,3.29E+10,155.61942,239.12605,1,None,parabolic,box sum
29,29,40.91833,200.1236,,,3.74E+09,2.89E+10,274.34992,930.95634,1,None,parabolic,box sum
30,30,40.39429,200.19363,,,4.30E+09,3.38E+10,259.84449,1961.00108,1,None,parabolic,box sum
