Number,#,Position F1,Position F2,Position F3,Assign F1,Assign F2,Assign F3,Height,Volume,Line Width F1 (Hz),Line Width F2 (Hz),Line Width F3 (Hz),Merit,Details,Fit Method,Vol. Method
1,6,44.19875,171.63246,117.04,,,,5.53E+09,1.31E+11,241.14476,173.61991,117.24275,1,None,None,box sum
2,10,174.72901,174.72342,109.91,,,,6.88E+09,1.63E+11,137.58383,169.7274,144.07831,1,None,None,box sum
3,11,171.6061,171.6212,117.04,,,,1.03E+10,2.51E+11,200.1916,193.0354,1362.59982,1,None,None,box sum
4,12,60.71246,174.67263,109.907,,,,4.58E+09,1.07E+11,132.45178,174.99524,125.17935,1,None,None,box sum
5,13,43.88147,174.70183,109.907,,,,3.07E+09,7.08E+10,205.56763,135.74715,118.32047,1,None,None,box sum
6,14,30.70473,174.72785,109.907,,,,4.06E+09,9.90E+10,186.08619,208.01183,259.97841,1,None,None,box sum
7,15,26.53889,174.62231,110,,,,3.41E+09,8.05E+10,139.06203,146.10718,129.40758,1,None,None,box sum
8,11519,169.83165,169.89367,122.11,,,,8.51E+09,2.05E+11,143.94766,181.12731,178.35397,1,None,parabolic,box sum
9,12349,45.67873,172.12868,119.13814,,,,4.90E+09,1.16E+11,143.57391,172.07086,141.42972,1,None,parabolic,box sum
10,13436,29.78715,173.24948,115.417,,,,3.92E+09,9.32E+10,160.62963,231.44917,127.20042,1,None,parabolic,box sum
11,13440,56.32599,172.80955,115.63,,,,8.20E+09,1.91E+11,133.02584,244.11384,120.95904,1,None,parabolic,box sum
12,13444,172.84199,172.84225,115.63,,,,1.44E+10,3.55E+11,176.67159,220.66454,1400.16055,1,None,parabolic,box sum
13,13962,58.77482,172.68087,113.73,,,,4.12E+09,9.69E+10,228.3151,144.03784,122.73395,1,None,parabolic,box sum
14,13963,172.63808,172.64205,113.73,,,,9.53E+09,2.37E+11,184.34752,194.27236,1510.423,1,None,parabolic,box sum
15,14678,171.83736,171.87822,111,,,,8.89E+09,2.07E+11,143.01817,168.80532,129.53943,1,None,parabolic,box sum
16,14683,28.80834,171.83497,110.91169,,,,5.73E+09,1.30E+11,189.85301,171.14377,105.46136,1,None,parabolic,box sum
17,15212,41.89685,172.83889,108.77,,,,4.49E+09,1.06E+11,183.85346,176.2226,140.4025,1,None,parabolic,box sum
18,15362,53.85306,176.12375,108.18306,,,,3.46E+09,8.00E+10,142.34517,137.23181,136.61069,1,None,parabolic,box sum
19,15363,28.63922,176.12864,108.2,,,,3.25E+09,7.44E+10,113.38074,162.15269,134.90045,1,None,parabolic,box sum
20,21892,55.67736,171.87973,111,,,,7.08E+09,1.65E+11,146.69827,168.76221,119.14492,1,None,None,box sum
21,21893,28.16659,172.77793,115.63,,,,4.18E+09,9.75E+10,165.03402,203.81224,119.72612,1,None,None,box sum
22,21894,172.11618,172.14397,119.2,,,,1.94E+10,4.90E+11,204.28942,249.70337,1126.13308,1,None,None,box sum
23,21895,173.31043,173.33578,115.417,,,,7.48E+09,1.96E+11,263.55452,232.43189,1684.42482,1,None,None,box sum
24,21896,56.40172,173.33578,115.417,,,,6.71E+09,1.58E+11,147.82196,276.24492,117.6604,1,None,None,box sum
25,21897,52.02134,173.36222,115.5,,,,3.49E+09,8.69E+10,238.0204,311.71052,217.99982,1,None,None,box sum
26,21898,62.97138,172.75998,127.35,,,,8.59E+09,2.08E+11,160.26077,178.64839,159.26474,1,None,None,box sum
